Position,Player,Current 49er,Unrestricted Free Agent,Stops Per Snap,Total Defensive Stops,Total Snaps Played
Cornerback,Donald Strickland,No,Yes,0.038,23,601
Cornerback,Nate Clements,No,Yes,0.025,93,3709
Cornerback,Eric Wright,No,Yes,0.017,2,120
Cornerback,Perrish Cox,Yes,No,0.016,21,1307
Cornerback,Walt Harris,No,No,0.015,31,2026
Cornerback,Carlos Rogers,No,No,0.015,53,3546
Cornerback,Tramaine Brock,Yes,No,0.013,15,1125
Cornerback,Shawntae Spencer,No,Yes,0.013,34,2649
Cornerback,Dontae Johnson,Yes,No,0.01,5,492
Cornerback,Tarell Brown,No,No,0.009,40,4440
Cornerback,Dre' Bly,No,No,0.008,6,713
Cornerback,Jimmie Ward,Yes,No,0.007,2,270
Cornerback,Chris Culliver,Yes,No,0.007,16,2200
Cornerback,William James,No,Yes,0,0,108
Cornerback,Nnamdi Asomugha,No,Yes,0,0,139
Defensive End,Cornellius Carradine,Yes,No,0.089,13,146
Defensive End,Marques Douglas,No,No,0.051,49,955
Defensive End,Parys Haralson,No,No,0.041,6,147
Defensive End,Justin Smith,No,No,0.038,253,6609
Defensive End,Ricky Jean-Francois,No,No,0.034,12,348
Defensive End,Isaac Sopoaga,No,Yes,0.034,48,1418
Defensive End,Demetric Evans,No,Yes,0.031,11,351
Defensive End,Bryant Young,No,No,0.031,27,866
Defensive End,Tony Jerod-Eddie,No,No,0.028,25,882
Defensive End,Ray McDonald,No,Yes,0.026,139,5448
Defensive End,Roderick Green,No,Yes,0.025,7,282
Defensive End,Ronald Fields,No,Yes,0.02,7,345
Defensive End,Demarcus Dobbs,No,No,0.02,10,494
Defensive End,Kentwan Balmer,No,Yes,0.02,5,253
Defensive Tackle,Ian Williams,Yes,No,0.077,18,235
Defensive Tackle,Glenn Dorsey,Yes,No,0.06,31,521
Defensive Tackle,Ricky Jean-Francois,No,No,0.057,25,438
Defensive Tackle,Aubrayo Franklin,No,No,0.052,121,2305
Defensive Tackle,Ronald Fields,No,Yes,0.047,10,214
Defensive Tackle,Isaac Sopoaga,No,Yes,0.035,59,1666
Defensive Tackle,Quinton Dial,Yes,No,0.033,9,273
Defensive Tackle,Ray McDonald,No,Yes,0.017,2,120
Defensive Tackle,Kentwan Balmer,No,Yes,0.009,1,112
Linebacker,Chris Borland,Yes,No,0.111,54,487
Linebacker,Jeff Ulbrich,No,No,0.074,18,243
Linebacker,NaVorro Bowman,Yes,No,0.063,244,3853
Linebacker,Larry Grant,No,Yes,0.059,15,253
Linebacker,Takeo Spikes,No,No,0.056,123,2199
Linebacker,Patrick Willis,Yes,No,0.055,433,7879
Linebacker,Derek Smith,No,No,0.045,28,620
Linebacker,Manny Lawson,No,No,0.045,90,2022
Linebacker,Aldon Smith,Yes,No,0.039,117,3001
Linebacker,Dan Skuta,Yes,No,0.039,28,721
Linebacker,Brandon T. Moore,No,Yes,0.036,12,329
Linebacker,Ahmad Brooks,Yes,No,0.036,171,4804
Linebacker,Michael Wilhoite,Yes,No,0.033,41,1229
Linebacker,Tully Banta-Cain,No,Yes,0.033,26,780
Linebacker,Parys Haralson,No,No,0.031,106,3448
Linebacker,Travis LaBoy,No,Yes,0.03,10,329
Linebacker,Aaron Lynch,Yes,No,0.029,15,521
Linebacker,Nick Moody,Yes,No,0.029,5,175
Linebacker,Roderick Green,No,Yes,0.015,2,136
Linebacker,Corey Lemonier,Yes,No,0.009,4,449
Safety,Marcus Hudson,No,Yes,0.069,9,130
Safety,C.J. Spillman,No,No,0.056,7,125
Safety,Antoine Bethea,Yes,No,0.033,35,1064
Safety,Michael Lewis,No,Yes,0.03,95,3147
Safety,Mark Roman,No,No,0.016,46,2814
Safety,Dashon Goldson,No,No,0.016,77,4810
Safety,Keith Lewis,No,Yes,0.016,4,250
Safety,Craig Dahl,Yes,No,0.015,4,273
Safety,Donte Whitner,No,No,0.014,50,3546
Safety,Madieu Williams,No,Yes,0.014,2,142
Safety,Eric Reid,Yes,No,0.011,24,2087
Safety,Taylor Mays,No,No,0.011,5,439
Safety,Reggie Smith,No,Yes,0.011,9,829
